Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
5,24168,723825.23,773141.7800000006,620,4,conv_MDG-b_5_n500_m50.txt,101.896828,775611.0625,199.68,193.32
6,8856,730096.4100000001,771372.3999999998,1022,7,conv_MDG-b_5_n500_m50.txt,141.406214,775611.0625,199.45,194.13
7,9306,726798,773334.5599999999,749,5,conv_MDG-b_5_n500_m50.txt,107.390548,775611.0625,199.71,193.71
8,11940,724488.3399999995,773559.2299999997,1382,8,conv_MDG-b_5_n500_m50.txt,191.345406,775611.0625,199.74,193.41
9,20910,734656.9600000003,774637.2300000003,1029,5,conv_MDG-b_5_n500_m50.txt,141.382296,775611.0625,199.87,194.72
10,16353,728319.9600000003,773210.8399999993,865,7,conv_MDG-b_5_n500_m50.txt,124.854989,775611.0625,199.69,193.9
1,464,719976.1699999993,775153.5799999993,1289,12,conv_MDG-b_6_n500_m50.txt,179.55631,775153.6875,200,192.88
2,10910,720290.9900000005,775153.5800000002,1102,6,conv_MDG-b_6_n500_m50.txt,147.624644,775153.6875,200,192.92
3,8505,729889.9500000011,774150.6199999995,669,2,conv_MDG-b_6_n500_m50.txt,103.000963,775153.6875,199.87,194.16
4,20994,720207.8399999995,774405.2500000006,673,9,conv_MDG-b_6_n500_m50.txt,90.42597,775153.6875,199.9,192.91
5,6653,725401.8200000015,774720.1300000014,828,10,conv_MDG-b_6_n500_m50.txt,118.21284,775153.6875,199.94,193.58
6,206,725024.1500000003,773503.0400000013,566,4,conv_MDG-b_6_n500_m50.txt,74.338292,775153.6875,199.79,193.53
7,12012,722204.2200000015,773389.3800000016,939,6,conv_MDG-b_6_n500_m50.txt,124.014513,775153.6875,199.77,193.17
8,7345,735421.7699999992,775081.0399999996,1033,10,conv_MDG-b_6_n500_m50.txt,143.746189,775153.6875,199.99,194.87
9,8689,731467.5199999998,775081.0400000005,1141,6,conv_MDG-b_6_n500_m50.txt,161.457635,775153.6875,199.99,194.36
10,15263,732218.059999999,772370.1700000004,1026,12,conv_MDG-b_6_n500_m50.txt,127.399803,775153.6875,199.64,194.46
1,2312,723024.9900000005,776477.4899999985,1424,4,conv_MDG-b_7_n500_m50.txt,199.400353,777232875,100.1,100.09
2,767,728433.190000001,772332.2899999986,517,3,conv_MDG-b_7_n500_m50.txt,72.687728,777232875,100.1,100.09
3,12551,737776.5200000004,774580.2099999988,736,7,conv_MDG-b_7_n500_m50.txt,106.691346,777232875,100.1,100.09
4,9011,737200.0800000011,776526.6399999997,880,3,conv_MDG-b_7_n500_m50.txt,134.288692,777232875,100.1,100.09
5,1119,727076.8500000006,776421.3699999985,710,9,conv_MDG-b_7_n500_m50.txt,96.665776,777232875,100.1,100.09
6,1670,735739.7200000002,774886.4699999995,774,4,conv_MDG-b_7_n500_m50.txt,113.840703,777232875,100.1,100.09
7,7441,718299.3200000002,776456.7100000001,638,5,conv_MDG-b_7_n500_m50.txt,93.070662,777232875,100.1,100.09
8,4994,723966.6699999992,776716.3099999998,518,3,conv_MDG-b_7_n500_m50.txt,76.991307,777232875,100.1,100.09
9,7257,736733.5600000003,774707.6800000009,764,6,conv_MDG-b_7_n500_m50.txt,112.473785,777232875,100.1,100.09
10,11391,738921.1999999994,776526.6400000005,906,11,conv_MDG-b_7_n500_m50.txt,132.333069,777232875,100.1,100.1
1,7772,731904.8600000005,779168.6200000002,1040,7,conv_MDG-b_8_n500_m50.txt,156.311528,779168.75,200,193.93
2,3156,718088.7499999994,778109.5699999996,933,6,conv_MDG-b_8_n500_m50.txt,137.639475,779168.75,199.86,192.16
3,7649,731037.9699999994,776199.4200000014,1180,5,conv_MDG-b_8_n500_m50.txt,174.795056,779168.75,199.62,193.82
4,6208,732320.4200000003,778540.01,518,6,conv_MDG-b_8_n500_m50.txt,75.858722,779168.75,199.92,193.99
5,8422,725946.2700000004,776680.03,702,6,conv_MDG-b_8_n500_m50.txt,86.861681,779168.75,199.68,193.17
6,16974,730957.2500000001,779168.6199999996,1127,5,conv_MDG-b_8_n500_m50.txt,173.762135,779168.75,200,193.81
7,10351,729136.52,778252.38,527,4,conv_MDG-b_8_n500_m50.txt,75.173667,779168.75,199.88,193.58
8,15231,728467.6499999999,777477.1799999996,748,7,conv_MDG-b_8_n500_m50.txt,108.015205,779168.75,199.78,193.49
9,6533,733028.2600000016,777146.9899999992,1398,9,conv_MDG-b_8_n500_m50.txt,185.522708,779168.75,199.74,194.08
10,7837,727860.5200000001,777864.6799999999,1379,9,conv_MDG-b_8_n500_m50.txt,196.6662,779168.75,199.83,193.42
1,5467,732755.2600000009,772814.0799999991,1024,8,conv_MDG-b_9_n500_m50.txt,140.693368,774802.1875,199.74,194.57
2,9635,733565.3500000018,772474.3,543,5,conv_MDG-b_9_n500_m50.txt,75.837324,774802.1875,199.7,194.68
3,6996,727701.6200000008,773940.24,1114,13,conv_MDG-b_9_n500_m50.txt,159.09787,774802.1875,199.89,193.92
4,11349,721507.2499999991,771735.5800000017,1022,13,conv_MDG-b_9_n500_m50.txt,124.756169,774802.1875,199.6,193.12
5,18211,731860.09,772603.540000001,638,8,conv_MDG-b_9_n500_m50.txt,87.403272,774802.1875,199.72,194.46
6,6855,712731.4999999991,772785.7999999996,923,5,conv_MDG-b_9_n500_m50.txt,121.88202,774802.1875,199.74,191.99
7,6032,735203.7899999993,773346.5900000005,1603,10,conv_MDG-b_9_n500_m50.txt,227.093918,774802.1875,199.81,194.89
8,1414,721374.5400000003,773143.8300000007,933,5,conv_MDG-b_9_n500_m50.txt,134.713008,774802.1875,199.79,193.1
9,5879,729490.3600000022,772974.9100000008,908,7,conv_MDG-b_9_n500_m50.txt,134.109202,774802.1875,199.76,194.15
10,17825,724967.6100000006,774687.5900000004,1407,7,conv_MDG-b_9_n500_m50.txt,196.766258,774802.1875,199.99,193.57
1,6118,736708.1399999999,774171.8900000005,701,8,conv_MDG-b_10_n500_m50.txt,91.595525,774961.3125,199.9,195.06
