MDG-b_19_n500_m50,778802.94,0.2,0.64,0.79
MDG-b_20_n500_m50,778644.81,0,0.46,0.63
MDG-b_21_n2000_m200,11299894.86,0.59,1.29,0.74
MDG-b_22_n2000_m200,11286775.59,0.58,1.06,0.67
MDG-b_23_n2000_m200,11299940.87,0.62,1.17,0.71
MDG-b_24_n2000_m200,11290874.16,0.59,0.99,0.77
MDG-b_25_n2000_m200,11296066.66,0.42,1.04,0.77
MDG-b_26_n2000_m200,11292295.89,0.35,1.23,0.72
MDG-b_27_n2000_m200,11305676.85,0.52,1.07,0.86
MDG-b_28_n2000_m200,11279916.06,0.54,1.13,0.8
MDG-b_29_n2000_m200,11297188.33,0.39,1.26,0.71
MDG-b_30_n2000_m200,11296414.93,0.72,1.09,0.57
MDG-b_31_n2000_m200,11288901.49,0.61,1.21,0.87
MDG-b_32_n2000_m200,11279820.13,0.67,1.12,0.69
MDG-b_33_n2000_m200,11296297.93,0.58,1.17,0.77
MDG-b_34_n2000_m200,11281245.5,0.35,1.15,0.5
MDG-b_35_n2000_m200,11307424.26,0.48,1.14,0.76
MDG-b_36_n2000_m200,11289469.27,0.35,0.85,0.53
MDG-b_37_n2000_m200,11290544.79,0.48,1.25,0.75
MDG-b_38_n2000_m200,11288570.85,0.47,0.96,0.67
MDG-b_39_n2000_m200,11295054.2,0.37,1.35,0.61
MDG-b_40_n2000_m200,11307104.8,0.49,1.33,0.67
MDG-c_1_n3000_m300,24884110,0.32,,
MDG-c_2_n3000_m300,24905330,0.51,,
MDG-c_3_n3000_m300,24900820,0.44,,
MDG-c_4_n3000_m300,24900424,0.51,,
MDG-c_5_n3000_m300,24899703,0.39,,
MDG-c_6_n3000_m400,43465087,0.57,,
MDG-c_7_n3000_m400,43472804,0.36,,
MDG-c_8_n3000_m400,43437261,0.35,,
MDG-c_9_n3000_m400,43437861,0.46,,
MDG-c_10_n3000_m400,43476251,0.51,,
MDG-c_11_n3000_m500,66987801,0.27,,
MDG-c_12_n3000_m500,67021888,0.41,,
MDG-c_13_n3000_m500,67014051,0.31,,
MDG-c_14_n3000_m500,66979606,0.32,,
MDG-c_15_n3000_m500,66992877,0.24,,
MDG-c_16_n3000_m600,95556435,0.22,,
MDG-c_17_n3000_m600,95645826,0.4,,
MDG-c_18_n3000_m600,95629207,0.53,,
MDG-c_19_n3000_m600,95633549,0.34,,
MDG-c_20_n3000_m600,95643586,0.4,,
