Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
1,28380,106203,113605,85,4,conv_MDG-a_37_n2000_m200.txt,7251.040371,114213,199.47,192.99
2,17846,106900,113691,105,4,conv_MDG-a_37_n2000_m200.txt,7244.20334,114213,199.54,193.6
3,2626,106732,113646,83,3,conv_MDG-a_37_n2000_m200.txt,7300.310396,114213,199.5,193.45
4,5764,106421,113660,91,2,conv_MDG-a_37_n2000_m200.txt,7309.242241,114213,199.52,193.18
5,18598,106562,113692,96,2,conv_MDG-a_37_n2000_m200.txt,7269.385828,114213,199.54,193.3
6,5567,107188,113632,118,6,conv_MDG-a_37_n2000_m200.txt,7200.297105,114213,199.49,193.85
7,13010,106615,113630,79,6,conv_MDG-a_37_n2000_m200.txt,7230.357085,114213,199.49,193.35
8,7920,106531,113660,84,4,conv_MDG-a_37_n2000_m200.txt,7228.073875,114213,199.52,193.27
9,7040,107058,113779,101,6,conv_MDG-a_37_n2000_m200.txt,7219.848146,114213,199.62,193.74
10,6903,107317,113655,100,6,conv_MDG-a_37_n2000_m200.txt,7216.710414,114213,199.51,193.96
1,7329,100525,113714,106,4,conv_MDG-a_38_n2000_m200.txt,7289.515926,114378,199.42,187.89
2,6317,107066,113984,90,3,conv_MDG-a_38_n2000_m200.txt,7226.256951,114378,199.66,193.61
3,9010,106474,114020,87,5,conv_MDG-a_38_n2000_m200.txt,7295.366934,114378,199.69,193.09
4,14043,106688,113687,82,4,conv_MDG-a_38_n2000_m200.txt,7278.258088,114378,199.4,193.28
5,2290,106469,113787,101,4,conv_MDG-a_38_n2000_m200.txt,7219.720204,114378,199.48,193.09
6,2000,106962,114152,98,6,conv_MDG-a_38_n2000_m200.txt,7308.391049,114378,199.8,193.52
7,914,106245,113781,84,3,conv_MDG-a_38_n2000_m200.txt,7244.778125,114378,199.48,192.89
8,8115,106810,113671,119,6,conv_MDG-a_38_n2000_m200.txt,7234.531726,114378,199.38,193.38
9,3774,106890,113916,119,4,conv_MDG-a_38_n2000_m200.txt,7299.665515,114378,199.6,193.45
10,6919,106958,113676,105,2,conv_MDG-a_38_n2000_m200.txt,7258.859995,114378,199.39,193.51
